ds,yhat,yhat_lower,yhat_upper
2024-04-16,24958.98224661625,22626.063247861486,27331.691036628563
2024-04-17,24976.842986046882,22426.892960203444,27416.904791186575
2024-04-18,25166.36711931169,22638.881498953873,27571.965296022587
2024-04-19,25150.069171472984,22802.14321004068,27587.777293744657
2024-04-20,25235.16846575857,22755.37030993259,27739.965255582694
2024-04-21,25417.486774588637,22998.99753005687,27723.675772270977
2024-04-22,25526.46248470378,22899.474904245166,27927.514407060095
2024-04-23,25474.04628613873,23165.98389223525,27869.12141234952
2024-04-24,25469.70704375167,23105.919365789156,27979.87504649233
2024-04-25,25629.675662924143,23297.748867889095,27843.992438305668
2024-04-26,25576.859455189056,23189.06467596049,28234.26040102069
2024-04-27,25619.06323616256,23114.274893488964,28034.731474144304
2024-04-28,25752.87705210243,23449.408600804218,27940.233721252986
2024-04-29,25808.67529315262,23097.239834462904,28206.96239082894
2024-04-30,25699.492490776378,23337.29124346849,28046.46542476262
2024-05-01,25636.004883138557,23291.437789380565,28104.814864812022
2024-05-02,25735.74611341508,23363.89062198107,27970.505911000655
2024-05-03,25622.99023576264,23069.65253287773,28094.47460917185
2024-05-04,25606.93902986656,23222.355617365487,28088.322548379885
2024-05-05,25685.574369368787,23203.52071107799,28196.122256114173
2024-05-06,25690.6213378064,23224.063751506772,28034.61385840991
